layer_index,layer_name,altitude_m,temperature_before_K,temperature_after_K,flux_in_w_m2,flux_out_w_m2,absorbed_flux_w_m2,scattered_flux_w_m2,emitted_flux_total_w_m2,delta_U_J,mean_tau_abs,mean_tau_sca
0,couche_00_z23500m,23500.0,221.41666666666669,221.46366383011144,1361.0000000000002,1248.751864740246,167.78298478191107,1.1221222668396449,113.31394357799287,3268.1424722350916,0.7931235941247925,9.024577558021565e-05
1,couche_01_z22500m,22500.0,224.25,224.22882234469202,1248.751864740246,1213.247591857065,96.45123200834364,0.9277989630893106,123.74951617650395,-1637.8970500896185,0.8763428203089985,0.00010037058401780554
2,couche_02_z21500m,21500.0,227.08333333333331,227.0568433962523,1213.247591857065,1183.034483822292,96.52164059190534,0.9436908489497113,134.50444681216396,-2278.968373215517,0.9656907681522123,0.00011164913118439404
3,couche_03_z20500m,20500.0,229.91666666666669,229.88710906037468,1183.034483822292,1156.414945977294,98.41319563023004,0.9884766068389328,145.56426878414217,-2829.064389234728,1.061805385026866,0.00012421437189531865
4,couche_04_z19500m,19500.0,232.75,232.71856005859155,1156.414945977294,1132.7111573257557,101.11532202167844,1.0494666934191488,156.9220001271185,-3348.4006863264044,1.1656251170389929,0.00013821471619023462
5,couche_05_z18500m,18500.0,235.58333333333331,235.55079541354522,1132.7111573257557,1111.571066981529,104.30851178536558,1.1232321910725105,168.58330726442253,-3856.487728743417,1.2784504863909238,0.00015381583763971355
6,couche_06_z17500m,17500.0,238.41666666666669,238.38360148161436,1111.571066981529,1092.7720015823527,107.87997681500482,1.2088081216801156,180.57943907501738,-4361.967735600753,1.402011979411113,0.00017120269358365765
7,couche_07_z16500m,16500.0,241.25,241.21683393765463,1092.7720015823527,1076.1439709095746,111.81921527014491,1.3061640229265796,192.99469724058676,-4870.528918226511,1.5385623704832372,0.00019058178151307967
8,couche_08_z15500m,15500.0,244.08333333333331,244.05037460088815,1076.1439709095746,1061.5297617254846,116.20860944761131,1.4156806802784203,206.02016188759958,-5388.693146399297,1.69102966026717,0.00021218365795319563
9,couche_09_z14500m,14500.0,246.91666666666669,246.8841082006142,1061.5297617254846,1048.7565339996997,121.26124670621465,1.537842598849491,220.05172315855887,-5927.428587140654,1.863297554571119,0.00023626574799534997
10,couche_10_z13500m,13500.0,249.75,249.7179104026449,1048.7565339996997,1037.5906816187392,127.41909591890578,1.672910356740497,235.8523077893714,-6505.992712227937,2.060734402080683,0.00026311547450164817
11,couche_11_z12500m,12500.0,252.58333333333331,252.55165616595679,1037.5906816187392,1027.6033590706043,135.5534208475533,1.8204092208664966,254.77301504057004,-7153.175651581005,2.2911885994559418,0.00029305373491542207
12,couche_12_z11500m,11500.0,255.41666666666666,255.3852724345975,1027.6033590706043,1017.7810140099166,147.30462065184324,1.978196249038012,278.9209436803872,-7896.979381712638,2.5668455474497196,0.00032643874858015876
13,couche_13_z10500m,10500.0,258.25,258.21885207285635,1017.7810140099166,1005.653986353295,165.45229265902267,2.140695905813113,310.9319218164281,-8728.777749444325,2.9076663546011483,0.00036367028483259877
14,couche_14_z9500m,9500.0,261.0833333333333,261.052777969507,1005.653986353295,985.9074824418121,193.91294548410517,2.2956318284558446,352.9241468021562,-9540.672079083062,3.347726822542567,0.0004051942551047131
15,couche_15_z8500m,8500.0,263.9166666666667,263.8877232943004,985.9074824418121,948.8751109928203,237.07385439967325,2.418387563961981,404.9197410292871,-10070.75319777683,3.946876918960101,0.0004515075983096288
16,couche_16_z7500m,7500.0,266.75,266.72430240850804,948.8751109928203,880.8632592691541,297.18098724679976,2.4638128860755755,463.2658968184179,-9965.094574297089,4.81216897324859,0.0005031632847842369
17,couche_17_z6500m,6500.0,269.5833333333333,269.5622621835489,880.8632592691541,770.5787997676233,367.64535469281105,2.3595646010133593,519.4409195845876,-9107.733893506595,6.137235150727562,0.0005607750674287935
18,couche_18_z5500m,5500.0,272.4166666666667,272.39973499381017,770.5787997676233,621.7645127246643,429.56832854646296,2.018521870708536,565.5451267484248,-8158.607892117708,8.27466244512125,0.0006250212409919105
19,couche_19_z4500m,4500.0,275.25,275.23335698360256,621.7645127246643,468.2211631775555,453.29478141456906,1.4085241691481474,602.319912073217,-8941.507839518876,11.869049639970893,0.0006966459872980905
20,couche_20_z3500m,3500.0,278.0833333333333,278.06157893596486,468.2211631775555,367.2041967267992,417.8944062532805,0.6844180355848842,635.1237156762182,-13033.758565376264,18.101681173792986,0.0007764556197769633
21,couche_21_z2500m,2500.0,280.9166666666667,280.889051079369,367.2041967267992,341.0437399914681,359.5563136624008,0.17753272897957395,667.1467793120985,-18455.427938981862,29.140536064380832,0.0008653047055847306
22,couche_22_z1500m,1500.0,283.75,283.72102966732206,341.0437399914681,351.4891051973242,339.12443134326065,0.01601023186936266,699.1716135619721,-21602.830933122685,48.96808160659201,0.0009640627371059533
23,couche_23_z500m,500.0,286.5833333333333,286.5558419216744,351.4891051973242,367.17424066986854,350.0388335675307,0.0002474326372264307,731.4484329454245,-22884.575962673633,84.9041988774024,0.0010735440884008876
